timestamp,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km,volcano_filter_Bromo,volcano_filter_Merapi,volcano_filter_Raung,volcano_filter_Semeru,volcano_filter_Slamet
10,1,-7.54194,110.44194,2968,18170,13.3,225,75,270,50.99244715,399.2160245,262.0628976,26.40508754,0,1,0,0,0
9,1,-7.54194,110.44194,2968,11130,7.6,225,52,152,67.23611819,522.0517244,264.9740462,33.80451261,0,1,0,0,0
6,0,-7.54194,110.44194,2968,11130,2.6,45,52,152,129.141134,4112.068519,238.8997411,61.70051084,0,1,0,0,0
6,1,-7.54194,110.44194,2968,11770,1.5,315,50,162,101.4326448,920.8885041,241.6885105,50.89858718,0,1,0,0,0
6,1,-7.54194,110.44194,2968,16570,0.4,270,76,230,89.06017148,1258.9926,260.2045704,42.3986062,0,1,0,0,0
6,2,-7.54194,110.44194,2968,27770,4.7,315,75,433,160.4712164,2027.257324,272.8005827,94.77298607,0,1,0,0,0
5,0,-7.54194,110.44194,2968,8650,5.1,135,29,96,29.99928826,245.7281605,287.8138165,16.12389253,0,1,0,0,0
5,1,-7.54194,110.44194,2968,13370,7.9,135,52,163,98.45450759,675.2376183,234.710924,49.66887595,0,1,0,0,0
1,1,-7.54194,110.44194,2968,9210,6.3,225,28,154,30.17094497,385.6759371,243.7297465,16.13032868,0,1,0,0,0
3,1,-8.10805,112.92,3676,400,1,45,22,110,12.23702436,153.3621356,271.1678272,7.328772221,0,0,0,1,0
3,1,-8.10805,112.92,3676,500,5,45,22,146,22.65698109,766.8106778,298.7989029,12.18869394,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,10.6,45,22,110,49.53788444,1165.55223,90.64829561,25.24973854,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,15.4,45,21,96,44.35893134,828.1041218,93.06285472,23.31194874,0,0,0,1,0
2,1,-8.10805,112.92,3676,400,12.8,45,21,99,12.60160278,245.3335788,175.3993393,7.113216077,0,0,0,1,0
2,1,-8.10805,112.92,3676,900,5.5,22.5,21,84,56.11766544,1073.534949,88.44586273,29.83855941,0,0,0,1,0
2,1,-8.10805,112.92,3676,900,5.5,22.5,22,118,56.11766544,1073.534949,88.44586273,29.83855941,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,4.9,45,22,135,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,900,10.9,22.5,22,125,56.11766544,1073.534949,88.44586273,29.83855941,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,1.7,0,22,115,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,1.7,90,22,118,7.978772094,122.6744524,148.5673611,4.870151202,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,4.2,0,22,112,12.4312795,184.0116787,132.2630253,7.153722232,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,4.2,0,22,117,12.4312795,184.0116787,132.2630253,7.153722232,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,2.7,0,22,115,17.49275711,184.0116787,119.7135641,9.106419011,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,3,45,22,115,49.53788444,1134.950038,82.36160643,25.98968812,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,3,45,22,101,52.20991945,981.5784113,85.13879184,26.27212773,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,4.5,45,15,92,44.03378758,736.0467147,95.59592599,21.90782393,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,1.4,45,22,106,15.80078884,214.6668815,142.5776149,8.616325132,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,2.7,45,22,101,12.4312795,184.0116787,132.2630253,7.153722232,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,2.7,0,22,119,12.4312795,153.3430656,122.1686161,7.42915139,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,4.2,202.5,22,98,12.60160278,184.0001841,143.8910962,7.418914514,0,0,0,1,0
2,1,-8.10805,112.92,3676,400,4.2,225,22,110,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,2.4,157.5,23,148,17.49275711,184.0116787,111.1485326,10.52893938,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,3.1,112.5,21,119,16.51389429,613.4104606,109.6793497,8.312399911,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,5.1,112.5,21,107,22.65698109,214.7069898,90.9132631,12.2142768,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,8.9,67.5,21,105,17.35633249,184.0345627,93.87339068,10.47382608,0,0,0,1,0
2,1,-8.10805,112.92,3676,400,4.2,45,20,89,12.60160278,153.3334868,166.308086,7.582020838,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,4.2,45,22,123,12.60160278,153.3334868,149.8737441,6.416441517,0,0,0,1,0
2,1,-8.10805,112.92,3676,900,13.8,22.5,22,102,49.82776582,1104.343839,81.88461479,26.81673148,0,0,0,1,0
2,1,-8.10805,112.92,3676,1500,10,22.5,20,275,82.74015351,2637.828732,85.59738826,47.56267385,0,0,0,1,0
2,1,-8.10805,112.92,3676,2000,5.5,22.5,25,2388,12.4312795,153.3430656,122.1686161,7.42915139,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,9.7,22.5,20,250,50.72899379,1165.624363,82.12078859,26.62775111,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,13.7,22.5,23,133,60.78475187,1196.224657,87.10837725,32.60807553,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,5.9,0,22,117,12.60160278,153.3334868,149.8737441,6.416441517,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,4.1,0,22,89,12.4312795,184.0116787,132.2630253,7.153722232,0,0,0,1,0
2,1,-8.10805,112.92,3676,900,4.1,0,22,101,12.4312795,153.3430656,122.1686161,7.42915139,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,4.8,45,22,116,7.978772094,122.6744524,148.5673611,4.870151202,0,0,0,1,0
2,1,-8.10805,112.92,3676,400,8.1,0,22,75,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,8.1,0,22,84,15.80078884,214.6668815,142.5776149,8.616325132,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,0.6,0,22,118,60.78475187,1196.224657,87.10837725,32.60807553,0,0,0,1,0
2,1,-8.10805,112.92,3676,900,2.3,0,22,110,24.57071414,245.3946028,80.64331883,12.6534861,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,8,45,22,134,29.60488478,306.7432535,76.43062991,15.06215904,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,2.3,45,22,113,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,0.4,45,22,125,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,0.4,45,22,110,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,2.3,180,22,119,12.60160278,153.3334868,149.8737441,6.416441517,0,0,0,1,0
2,1,-8.10805,112.92,3676,400,6.1,180,22,103,12.60160278,184.0001841,155.4942149,7.236421726,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,6.1,180,22,115,12.4312795,153.3430656,122.1686161,7.42915139,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,7.7,180,22,120,12.4312795,184.0116787,132.2630253,7.153722232,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,7.7,180,22,112,12.4312795,153.3430656,122.1686161,7.42915139,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,7.1,45,22,121,44.35893134,828.1041218,93.06285472,23.31194874,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,5.3,90,21,97,28.11881988,398.6670656,110.1176646,16.64307765,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,5.3,90,22,120,44.4078223,644.0809837,95.20187226,25.54652722,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,3.1,0,22,119,60.54610994,1472.185106,91.97182376,34.0397014,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,3.1,0,22,126,73.43629021,2392.300796,90.92589426,40.34216493,0,0,0,1,0
2,1,-8.10805,112.92,3676,400,6.7,0,21,99,60.81690963,1288.001289,99.82832006,32.03313023,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,6.7,0,22,117,82.75904704,2484.157662,93.13683887,43.22857822,0,0,0,1,0
2,1,-8.10805,112.92,3676,600,6.7,0,21,109,77.2479636,1686.983491,93.74408364,40.771256,0,0,0,1,0
2,1,-8.10805,112.92,3676,300,6,0,19,55,34.9125564,551.9659636,111.2788718,20.8109079,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,6,0,22,124,82.75904704,1870.7854,96.20470861,43.85337477,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,7.6,45,22,138,38.52970749,460.0004603,103.3635048,22.22303415,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,7.1,45,22,112,38.90015822,644.1209694,87.99124508,19.55983868,0,0,0,1,0
2,1,-8.10805,112.92,3676,700,4.8,45,22,155,45.36822352,644.2005729,76.13862845,24.79177569,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,2.3,0,22,115,28.03630334,276.051844,89.35855305,15.06154846,0,0,0,1,0
2,1,-8.10805,112.92,3676,800,2.3,0,22,119,33.45637177,306.7242711,88.39250511,16.90103079,0,0,0,1,0
2,1,-8.10805,112.92,3676,1000,4.8,0,22,125,38.90015822,429.4139796,88.37567764,21.92767605,0,0,0,1,0
2,1,-8.10805,112.92,3676,300,1.3,45,22,110,17.49275711,276.0002762,122.3262047,11.06164444,0,0,0,1,0
2,1,-8.10805,112.92,3676,500,7.6,45,22,116,22.01769522,184.0116787,105.9544366,12.12667533,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,1.1,45,22,134,7.671131386,214.6936612,0,5.385062554,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,1.3,0,22,115,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,1.3,0,22,127,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,3.1,0,22,117,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,3.1,90,23,122,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,3.3,67.5,22,154,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,14.2,135,22,115,12.21357023,122.6973014,36.32500205,6.361111988,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,11.1,112.5,22,94,7.671131386,214.6936612,0,5.385062554,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,9.7,135,22,126,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,3.8,180,22,139,12.21357023,184.0459521,319.6305397,6.975922779,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,9.8,45,22,156,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,10.1,45,12,96,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,9.7,22.5,22,110,7.671131386,122.6897084,69.05819614,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,0.8,22.5,22,136,7.671131386,153.3526152,258.7026692,4.903176065,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,0.9,45,22,118,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,300,4.3,0,22,88,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,4.3,0,22,100,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,400,4.3,0,22,92,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,4.5,45,22,95,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,5.3,0,22,88,12.21357023,153.3716268,24.28809486,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,2.3,45,22,155,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,10.8,0,22,125,17.35851036,184.0573065,11.30668853,10.41614973,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,2.5,45,22,118,7.671131386,214.6936612,0,5.385062554,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,1.9,45,22,99,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,1.9,45,22,92,7.671131386,92.01728134,314.1430707,4.410292573,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,1.9,0,22,96,7.671131386,92.01728134,314.1430707,4.410292573,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,4.5,0,22,115,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,4.5,0,22,110,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,3.8,0,22,110,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,400,9.4,45,22,110,7.671131386,153.3621356,49.28317048,4.849546011,0,0,0,1,0
1,1,-8.10805,112.92,3676,2000,6.9,112.5,27,696,5.508426168,306.7052303,223.8702685,2.862628137,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,8.8,112.5,21,137,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,400,6,45,22,155,7.671131386,92.01728134,314.1430707,4.410292573,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,9.5,22.5,22,100,12.21357023,122.6973014,36.32500205,6.361111988,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,8.5,67.5,23,126,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,6,0,22,151,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,13.5,45,22,93,17.35851036,184.0573065,11.30668853,10.41614973,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,7.6,0,22,152,7.978772094,245.3641843,239.273628,5.709276247,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,8.4,0,22,124,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,8.4,0,22,119,7.671131386,92.01728134,314.1430707,4.410292573,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,8.9,0,22,125,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,500,8.9,0,22,110,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,8.9,0,22,121,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,8.9,0,22,122,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,8.9,0,22,119,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,6.1,315,13,129,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,300,6.4,22.5,20,88,17.35851036,214.7335243,18.12861959,10.02400425,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,12,315,14,120,12.21357023,122.6973014,36.32500205,6.361111988,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,8.3,0,22,115,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,8.3,0,22,110,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,6.2,0,22,121,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,6.2,0,22,125,7.671131386,122.6897084,290.9418039,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,7.2,0,22,125,12.21357023,184.0459521,319.6305397,6.975922779,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,7.2,0,22,118,12.21357023,153.3716268,335.7119051,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,6.9,0,22,124,12.21357023,153.3716268,335.7119051,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,6.9,0,22,120,12.21357023,153.3716268,335.7119051,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,400,6.9,0,22,110,12.21357023,153.3716268,24.28809486,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,9.7,0,22,116,12.21357023,153.3716268,24.28809486,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,9.7,0,22,120,12.21357023,153.3716268,24.28809486,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,9.7,0,22,114,12.21357023,153.3716268,24.28809486,7.269422102,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,5.8,0,22,119,7.978772094,92.00583933,165.7906009,4.65739288,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,5.8,0,22,107,7.978772094,92.00583933,165.7906009,4.65739288,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,4.8,0,22,115,7.978772094,92.00583933,136.2357822,4.568009456,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,4.8,0,22,110,7.978772094,92.00583933,136.2357822,4.568009456,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,4.5,0,22,128,7.978772094,122.6744524,148.5673611,4.870151202,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,4.5,0,22,118,5.508426168,306.7052303,136.1297315,2.862628137,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,6.2,0,22,122,7.671131386,122.6897084,69.05819614,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,6.2,0,22,121,7.671131386,122.6897084,69.05819614,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,6.2,0,22,116,7.671131386,122.6897084,69.05819614,4.684825972,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,11.7,45,13,121,12.23702436,122.6897084,87.95265319,6.408353005,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,8,45,22,110,12.23702436,460.0864067,336.285239,8.216047174,0,0,0,1,0
1,1,-8.10805,112.92,3676,400,8,45,22,101,17.35851036,521.463531,332.4827667,9.181986273,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,1,202.5,23,125,23.31895547,276.0859598,50.02871376,11.31204693,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,2.3,180,22,109,19.80501978,214.7335243,48.07241735,9.464634652,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,2.3,180,22,122,19.80501978,184.0573065,37.93689922,10.12400273,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,1.3,180,22,110,15.49454866,153.3716268,39.33735863,8.187799323,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,1.3,0,22,99,15.49454866,214.7202775,54.55068623,8.383492449,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,2.9,0,22,95,19.78881682,245.3946028,75.01980406,11.16044488,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,2.9,45,22,116,24.57071414,214.7202775,75.24587057,12.47846792,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,1.6,0,22,118,15.49454866,153.3716268,76.52747746,8.225592137,0,0,0,1,0
1,1,-8.10805,112.92,3676,1000,2.2,0,22,119,12.23702436,122.6897084,87.95265319,6.408353005,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,1.8,0,22,101,17.35633249,184.0345627,85.22727653,9.000032266,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,2.7,0,22,110,17.35633249,153.3621356,83.58446516,8.597948903,0,0,0,1,0
1,1,-8.10805,112.92,3676,600,2.7,0,22,87,19.78881682,245.3946028,75.01980406,11.16044488,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,2.7,0,22,89,19.78881682,245.3946028,75.01980406,11.16044488,0,0,0,1,0
1,1,-8.10805,112.92,3676,800,2.7,0,22,97,19.78881682,214.7202775,80.21018756,10.5412872,0,0,0,1,0
1,1,-8.10805,112.92,3676,900,6.8,45,22,138,19.78881682,184.0459521,77.79868643,10.46309355,0,0,0,1,0
1,1,-8.10805,112.92,3676,700,1.9,45,23,123,17.35633249,214.7069898,86.21785071,10.07344113,0,0,0,1,0
12,1,-8.10805,112.92,3676,900,0.7,67.5,22,129,12.21357023,122.6973014,323.674998,6.361111988,0,0,0,1,0
12,1,-8.10805,112.92,3676,1000,5.5,112.5,23,122,17.35851036,153.3810888,329.6527208,8.560591663,0,0,0,1,0
12,1,-8.10805,112.92,3676,600,1.5,0,22,133,17.35851036,398.7908308,353.0980116,10.05116296,0,0,0,1,0
12,1,-8.10805,112.92,3676,900,0.6,112.5,22,125,15.49454866,245.3946028,299.1975432,8.711862028,0,0,0,1,0
12,1,-8.10805,112.92,3676,700,1.1,225,22,130,12.21357023,122.6973014,323.674998,6.361111988,0,0,0,1,0
12,1,-8.10805,112.92,3676,800,5.1,45,22,120,17.35851036,276.0859598,357.0361391,10.00585904,0,0,0,1,0
12,1,-8.10805,112.92,3676,700,3.3,45,21,97,15.49454866,245.3946028,314.3233234,8.698388712,0,0,0,1,0
12,1,-8.10805,112.92,3676,700,1.3,0,22,165,17.35851036,184.0573065,337.2196971,8.950936812,0,0,0,1,0
12,1,-8.10805,112.92,3676,700,6.6,45,21,105,12.21357023,153.3716268,335.7119051,7.269422102,0,0,0,1,0
12,1,-8.10805,112.92,3676,500,3.6,0,22,122,17.35851036,214.7335243,341.8713804,10.02400425,0,0,0,1,0
12,1,-8.10805,112.92,3676,900,7,315,22,90,12.21357023,214.7202775,360,8.033116018,0,0,0,1,0
12,1,-8.10805,112.92,3676,800,7,315,22,128,17.35851036,276.0859598,357.0361391,10.00585904,0,0,0,1,0
12,1,-8.10805,112.92,3676,500,5.4,45,22,129,17.35851036,184.0573065,337.2196971,8.950936812,0,0,0,1,0
12,1,-8.10805,112.92,3676,900,9.7,45,22,108,12.21357023,153.3716268,24.28809486,7.269422102,0,0,0,1,0
12,1,-8.10805,112.92,3676,800,11,67.5,17,98,17.35851036,276.0859598,357.0361391,10.00585904,0,0,0,1,0
12,1,-8.10805,112.92,3676,800,6.9,112.5,22,140,17.35851036,153.3810888,329.6527208,8.560591663,0,0,0,1,0
12,1,-8.10805,112.92,3676,800,4.5,45,15,103,17.35851036,276.0859598,357.0361391,10.00585904,0,0,0,1,0
12,1,-8.10805,112.92,3676,300,3.1,45,22,176,12.21357023,153.3716268,335.7119051,7.269422102,0,0,0,1,0
