volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,jarak_km,luas_km2,sudut_deg,radius_km,Bulan,Jam
Semeru,2,-8.10805,112.92,3676,900.0,5.5,22.5,21.0,84.0,56.11766544255818,1073.5349489304097,88.44586272554676,29.838559405791823,2,0
Semeru,2,-8.10805,112.92,3676,900.0,5.5,22.5,22.0,118.0,56.11766544255818,1073.5349489304097,88.44586272554676,29.838559405791823,2,0
Semeru,2,-8.10805,112.92,3676,700.0,4.9,45.0,22.0,135.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,23
Semeru,2,-8.10805,112.92,3676,900.0,10.900000000000002,22.5,22.0,125.0,56.11766544255818,1073.5349489304097,88.44586272554676,29.838559405791823,2,0
Semeru,2,-8.10805,112.92,3676,500.0,1.7000000000000002,0.0,22.0,115.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,22
Semeru,2,-8.10805,112.92,3676,1000.0,1.7000000000000002,90.0,22.0,118.0,7.978772093601114,122.67445244496956,148.56736113210312,4.870151201880573,2,22
Semeru,2,-8.10805,112.92,3676,700.0,4.2,0.0,22.0,112.0,12.431279497761324,184.0116786674544,132.26302531014312,7.1537222316021705,2,17
Semeru,2,-8.10805,112.92,3676,700.0,4.2,0.0,22.0,117.0,12.431279497761324,184.0116786674544,132.26302531014312,7.1537222316021705,2,17
Semeru,2,-8.10805,112.92,3676,800.0,2.7,0.0,22.0,115.0,17.492757114354365,184.0116786674544,119.71356410228567,9.1064190107971,2,16
Semeru,2,-8.10805,112.92,3676,800.0,3.0,45.0,22.0,115.0,49.537884442127066,1134.9500380835864,82.36160643236627,25.98968812031832,2,3
Semeru,2,-8.10805,112.92,3676,800.0,3.0,45.0,22.0,101.0,52.20991944600394,981.5784113155344,85.13879183740994,26.272127725940138,2,1
Semeru,2,-8.10805,112.92,3676,500.0,4.5,45.0,15.0,92.0,44.03378757601534,736.0467146698174,95.59592599032726,21.907823929282745,2,0
Semeru,2,-8.10805,112.92,3676,500.0,1.4,45.0,22.0,106.0,15.800788837819136,214.6668814655857,142.5776149134907,8.616325131581716,2,21
Semeru,2,-8.10805,112.92,3676,600.0,2.7,45.0,22.0,101.0,12.431279497761324,184.0116786674544,132.26302531014312,7.1537222316021705,2,16
Semeru,2,-8.10805,112.92,3676,700.0,2.7,0.0,22.0,119.0,12.431279497761324,153.34306555621197,122.168616097019,7.429151390085646,2,16
Semeru,2,-8.10805,112.92,3676,500.0,4.2,202.5,22.0,98.0,12.601602777969266,184.0001841133592,143.89109617627446,7.418914513875479,2,17
Semeru,2,-8.10805,112.92,3676,400.0,4.2,225.0,22.0,110.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,17
Semeru,2,-8.10805,112.92,3676,1000.0,2.4,157.5,23.0,148.0,17.492757114354365,184.0116786674544,111.14853261780496,10.528939376232843,2,16
Semeru,2,-8.10805,112.92,3676,800.0,3.1,112.5,21.0,119.0,16.51389428621559,613.410460627736,109.67934966549674,8.312399911320345,2,14
Semeru,2,-8.10805,112.92,3676,800.0,5.1,112.5,21.0,107.0,22.656981086711905,214.70698978607427,90.91326309663717,12.214276797899313,2,13
Semeru,2,-8.10805,112.92,3676,500.0,8.9,67.5,21.0,105.0,17.356332494463032,184.034562673778,93.8733906825845,10.473826083097212,2,12
Semeru,2,-8.10805,112.92,3676,400.0,4.2,45.0,20.0,89.0,12.601602777969266,153.33348676113263,166.30808595066625,7.582020837824953,2,22
Semeru,2,-8.10805,112.92,3676,700.0,4.2,45.0,22.0,123.0,12.601602777969266,153.33348676113263,149.87374414547003,6.416441517098311,2,22
Semeru,2,-8.10805,112.92,3676,900.0,13.8,22.5,22.0,102.0,49.82776582224859,1104.3438391787367,81.88461479245365,26.81673148223929,2,2
Semeru,2,-8.10805,112.92,3676,1500.0,10.0,22.5,20.0,275.0,82.74015350734562,2637.828731657484,85.59738826013034,47.56267385367534,2,0
Semeru,2,-8.10805,112.92,3676,2000.0,5.5,22.5,25.0,2388.0,12.431279497761324,153.34306555621197,122.168616097019,7.429151390085646,2,22
Semeru,2,-8.10805,112.92,3676,1000.0,9.7,22.5,20.0,250.0,50.72899379404356,1165.624363437197,82.12078859349879,26.627751111419432,2,3
Semeru,2,-8.10805,112.92,3676,1000.0,13.7,22.5,23.0,133.0,60.78475186555029,1196.2246573795994,87.10837725279083,32.60807552743399,2,0
Semeru,2,-8.10805,112.92,3676,600.0,5.9,0.0,22.0,117.0,12.601602777969266,153.33348676113263,149.87374414547003,6.416441517098311,2,22
Semeru,2,-8.10805,112.92,3676,700.0,4.1,0.0,22.0,89.0,12.431279497761324,184.0116786674544,132.26302531014312,7.1537222316021705,2,17
Semeru,2,-8.10805,112.92,3676,900.0,4.1,0.0,22.0,101.0,12.431279497761324,153.34306555621197,122.168616097019,7.429151390085646,2,17
Semeru,2,-8.10805,112.92,3676,1000.0,4.8,45.0,22.0,116.0,7.978772093601114,122.67445244496956,148.56736113210312,4.870151201880573,2,22
Semeru,2,-8.10805,112.92,3676,400.0,8.1,0.0,22.0,75.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,17
Semeru,2,-8.10805,112.92,3676,600.0,8.1,0.0,22.0,84.0,15.800788837819136,214.6668814655857,142.5776149134907,8.616325131581716,2,17
Semeru,2,-8.10805,112.92,3676,1000.0,0.6000000000000001,0.0,22.0,118.0,60.78475186555029,1196.2246573795994,87.10837725279083,32.60807552743399,2,0
Semeru,2,-8.10805,112.92,3676,900.0,2.3,0.0,22.0,110.0,24.57071414231177,245.39460282887484,80.64331882501978,12.653486103466328,2,11
Semeru,2,-8.10805,112.92,3676,800.0,8.0,45.0,22.0,134.0,29.604884777395323,306.7432535360936,76.43062990780473,15.062159042038568,2,9
Semeru,2,-8.10805,112.92,3676,500.0,2.3,45.0,22.0,113.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,22
Semeru,2,-8.10805,112.92,3676,700.0,0.3999999999999999,45.0,22.0,125.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,23
Semeru,2,-8.10805,112.92,3676,500.0,0.3999999999999999,45.0,22.0,110.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,23
Semeru,2,-8.10805,112.92,3676,600.0,2.3,180.0,22.0,119.0,12.601602777969266,153.33348676113263,149.87374414547003,6.416441517098311,2,22
Semeru,2,-8.10805,112.92,3676,400.0,6.1,180.0,22.0,103.0,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728,2,17
Semeru,2,-8.10805,112.92,3676,800.0,6.1,180.0,22.0,115.0,12.431279497761324,153.34306555621197,122.168616097019,7.429151390085646,2,17
Semeru,2,-8.10805,112.92,3676,600.0,7.699999999999999,180.0,22.0,120.0,12.431279497761324,184.0116786674544,132.26302531014312,7.1537222316021705,2,16
Semeru,2,-8.10805,112.92,3676,700.0,7.699999999999999,180.0,22.0,112.0,12.431279497761324,153.34306555621197,122.168616097019,7.429151390085646,2,16
Semeru,2,-8.10805,112.92,3676,600.0,7.1,45.0,22.0,121.0,44.35893134046793,828.1041218474554,93.06285471805694,23.311948737584416,2,0
Semeru,2,-8.10805,112.92,3676,500.0,5.3,90.0,21.0,97.0,28.11881987858083,398.66706557894486,110.11766458684272,16.643077646679213,2,22
Semeru,2,-8.10805,112.92,3676,800.0,5.3,90.0,22.0,120.0,44.40782229602733,644.080983659132,95.20187225539814,25.546527223777204,2,22
Semeru,2,-8.10805,112.92,3676,800.0,3.1,0.0,22.0,119.0,60.54610994484838,1472.185105506535,91.9718237604908,34.039701396714904,2,17
Semeru,2,-8.10805,112.92,3676,1000.0,3.1,0.0,22.0,126.0,73.43629021304137,2392.3007964482044,90.9258942578008,40.3421649349152,2,17
Semeru,2,-8.10805,112.92,3676,400.0,6.7,0.0,21.0,99.0,60.8169096303471,1288.001288793468,99.82832006014488,32.03313023159624,2,0
Semeru,2,-8.10805,112.92,3676,800.0,6.7,0.0,22.0,117.0,82.7590470436518,2484.157662010634,93.13683886878836,43.228578216885765,2,0
Semeru,2,-8.10805,112.92,3676,600.0,6.7,0.0,21.0,109.0,77.24796359679017,1686.983491176358,93.74408364390848,40.771255995729895,2,0
Semeru,2,-8.10805,112.92,3676,300.0,6.0,0.0,19.0,55.0,34.912556403892246,551.965963584659,111.27887179844154,20.81090789948305,2,23
Semeru,2,-8.10805,112.92,3676,700.0,6.0,0.0,22.0,124.0,82.7590470436518,1870.78539978572,96.20470861167786,43.85337477440039,2,23
Semeru,2,-8.10805,112.92,3676,500.0,7.6,45.0,22.0,138.0,38.52970749044287,460.0004602833979,103.36350476921584,22.22303415206627,2,21
Semeru,2,-8.10805,112.92,3676,500.0,7.1,45.0,22.0,112.0,38.90015821572525,644.1209693582458,87.99124508227476,19.559838681638613,2,0
Semeru,2,-8.10805,112.92,3676,700.0,4.8,45.0,22.0,155.0,45.36822351835458,644.2005728542402,76.13862844875294,24.79177569139888,2,21
Semeru,2,-8.10805,112.92,3676,500.0,2.3,0.0,22.0,115.0,28.03630333835644,276.0518440106669,89.35855304672572,15.061548460715906,2,13
Semeru,2,-8.10805,112.92,3676,800.0,2.3,0.0,22.0,119.0,33.456371774323614,306.7242711229633,88.39250511092135,16.901030792076675,2,13
Semeru,2,-8.10805,112.92,3676,1000.0,4.8,0.0,22.0,125.0,38.90015821572525,429.41397957214855,88.3756776359964,21.92767605162017,2,12
Semeru,2,-8.10805,112.92,3676,300.0,1.3000000000000005,45.0,22.0,110.0,17.492757114354365,276.0002761700388,122.3262047418528,11.061644440754064,2,22
Semeru,2,-8.10805,112.92,3676,500.0,7.6,45.0,22.0,116.0,22.01769522279153,184.0116786674544,105.9544365598642,12.126675330404543,2,16
Semeru,2,-8.10805,112.92,3676,500.0,1.0999999999999996,45.0,22.0,134.0,7.671131386339246,214.69366121971063,0.0,5.385062554235759,1,23
Semeru,2,-8.10805,112.92,3676,700.0,1.3000000000000005,0.0,22.0,115.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,800.0,1.3000000000000005,0.0,22.0,127.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,700.0,3.1,0.0,22.0,117.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,900.0,3.1,90.0,23.0,122.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,800.0,3.3,67.5,22.0,154.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,21
Semeru,2,-8.10805,112.92,3676,700.0,14.2,135.0,22.0,115.0,12.213570232467887,122.69730141443742,36.32500204787863,6.361111987758738,1,0
Semeru,2,-8.10805,112.92,3676,500.0,11.1,112.5,22.0,94.0,7.671131386339246,214.69366121971063,0.0,5.385062554235759,1,23
Semeru,2,-8.10805,112.92,3676,500.0,9.7,135.0,22.0,126.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,21
Semeru,2,-8.10805,112.92,3676,800.0,3.8,180.0,22.0,139.0,12.213570232467887,184.0459521216561,319.63053967521046,6.975922779385601,1,13
Semeru,2,-8.10805,112.92,3676,800.0,9.8,45.0,22.0,156.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,21
Semeru,2,-8.10805,112.92,3676,600.0,10.1,45.0,12.0,96.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,16
Semeru,2,-8.10805,112.92,3676,500.0,9.7,22.5,22.0,110.0,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667,1,1
Semeru,2,-8.10805,112.92,3676,700.0,0.7999999999999994,22.5,22.0,136.0,7.671131386339246,153.3526151569362,258.70266916859066,4.903176065106292,1,23
Semeru,2,-8.10805,112.92,3676,1000.0,0.8999999999999995,45.0,22.0,118.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,300.0,4.3,0.0,22.0,88.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,700.0,4.3,0.0,22.0,100.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,400.0,4.3,0.0,22.0,92.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,500.0,4.5,45.0,22.0,95.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,16
Semeru,2,-8.10805,112.92,3676,600.0,5.3,0.0,22.0,88.0,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802,1,11
Semeru,2,-8.10805,112.92,3676,600.0,2.3,45.0,22.0,155.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,500.0,10.8,0.0,22.0,125.0,17.358510364564754,184.0573065297829,11.30668852947963,10.416149729414414,1,7
Semeru,2,-8.10805,112.92,3676,500.0,2.5,45.0,22.0,118.0,7.671131386339246,214.69366121971063,0.0,5.385062554235759,1,23
Semeru,2,-8.10805,112.92,3676,800.0,1.9,45.0,22.0,99.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,500.0,1.9,45.0,22.0,92.0,7.671131386339246,92.01728133688896,314.1430706643596,4.410292572855688,1,22
Semeru,2,-8.10805,112.92,3676,500.0,1.9,0.0,22.0,96.0,7.671131386339246,92.01728133688896,314.1430706643596,4.410292572855688,1,22
Semeru,2,-8.10805,112.92,3676,800.0,4.5,0.0,22.0,115.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,18
Semeru,2,-8.10805,112.92,3676,700.0,4.5,0.0,22.0,110.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,18
Semeru,2,-8.10805,112.92,3676,600.0,3.8,0.0,22.0,110.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,400.0,9.4,45.0,22.0,110.0,7.671131386339246,153.36213556148164,49.28317048126843,4.849546010825253,1,1
Semeru,2,-8.10805,112.92,3676,2000.0,6.9,112.5,27.0,696.0,5.508426167779602,306.705230313868,223.87026852672176,2.8626281373681906,1,15
Semeru,2,-8.10805,112.92,3676,700.0,8.8,112.5,21.0,137.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,14
Semeru,2,-8.10805,112.92,3676,400.0,6.0,45.0,22.0,155.0,7.671131386339246,92.01728133688896,314.1430706643596,4.410292572855688,1,15
Semeru,2,-8.10805,112.92,3676,800.0,9.5,22.5,22.0,100.0,12.213570232467887,122.69730141443742,36.32500204787863,6.361111987758738,1,0
Semeru,2,-8.10805,112.92,3676,800.0,8.5,67.5,23.0,126.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,700.0,6.0,0.0,22.0,151.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,14
Semeru,2,-8.10805,112.92,3676,800.0,13.5,45.0,22.0,93.0,17.358510364564754,184.0573065297829,11.30668852947963,10.416149729414414,1,10
Semeru,2,-8.10805,112.92,3676,600.0,7.6,0.0,22.0,152.0,7.978772093601114,245.3641842510979,239.27362798552207,5.709276246656428,1,23
Semeru,2,-8.10805,112.92,3676,900.0,8.4,0.0,22.0,124.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,500.0,8.4,0.0,22.0,119.0,7.671131386339246,92.01728133688896,314.1430706643596,4.410292572855688,1,22
Semeru,2,-8.10805,112.92,3676,1000.0,8.9,0.0,22.0,125.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,500.0,8.9,0.0,22.0,110.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,1000.0,8.9,0.0,22.0,121.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,1000.0,8.9,0.0,22.0,122.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,800.0,8.9,0.0,22.0,119.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,700.0,6.1,315.0,13.0,129.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,14
Semeru,2,-8.10805,112.92,3676,300.0,6.4,22.5,20.0,88.0,17.358510364564754,214.73352428474672,18.12861958905262,10.024004251832247,1,9
Semeru,2,-8.10805,112.92,3676,700.0,12.0,315.0,14.0,120.0,12.213570232467887,122.69730141443742,36.32500204787863,6.361111987758738,1,0
Semeru,2,-8.10805,112.92,3676,700.0,8.3,0.0,22.0,115.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,600.0,8.3,0.0,22.0,110.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,22
Semeru,2,-8.10805,112.92,3676,700.0,6.2,0.0,22.0,121.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,17
Semeru,2,-8.10805,112.92,3676,900.0,6.2,0.0,22.0,125.0,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666,1,16
Semeru,2,-8.10805,112.92,3676,1000.0,7.2,0.0,22.0,125.0,12.213570232467887,184.0459521216561,319.63053967521046,6.975922779385601,1,13
Semeru,2,-8.10805,112.92,3676,700.0,7.2,0.0,22.0,118.0,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802,1,13
Semeru,2,-8.10805,112.92,3676,1000.0,6.9,0.0,22.0,124.0,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802,1,12
Semeru,2,-8.10805,112.92,3676,900.0,6.9,0.0,22.0,120.0,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802,1,12
Semeru,2,-8.10805,112.92,3676,400.0,6.9,0.0,22.0,110.0,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802,1,12
Semeru,2,-8.10805,112.92,3676,600.0,9.7,0.0,22.0,116.0,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802,1,11
Semeru,2,-8.10805,112.92,3676,800.0,9.7,0.0,22.0,120.0,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802,1,11
Semeru,2,-8.10805,112.92,3676,600.0,9.7,0.0,22.0,114.0,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802,1,11
Semeru,2,-8.10805,112.92,3676,900.0,5.8,0.0,22.0,119.0,7.978772093601114,92.00583933372718,165.7906008700023,4.657392879914229,1,22
Semeru,2,-8.10805,112.92,3676,800.0,5.8,0.0,22.0,107.0,7.978772093601114,92.00583933372718,165.7906008700023,4.657392879914229,1,22
Semeru,2,-8.10805,112.92,3676,800.0,4.8,0.0,22.0,115.0,7.978772093601114,92.00583933372718,136.2357821885781,4.568009456112498,1,17
Semeru,2,-8.10805,112.92,3676,700.0,4.8,0.0,22.0,110.0,7.978772093601114,92.00583933372718,136.2357821885781,4.568009456112498,1,17
Semeru,2,-8.10805,112.92,3676,800.0,4.5,0.0,22.0,128.0,7.978772093601114,122.67445244496956,148.56736113210312,4.870151201880573,1,13
Semeru,2,-8.10805,112.92,3676,700.0,4.5,0.0,22.0,118.0,5.508426167779602,306.705230313868,136.12973147327824,2.8626281373681906,1,13
Semeru,2,-8.10805,112.92,3676,800.0,6.2,0.0,22.0,122.0,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667,1,11
Semeru,2,-8.10805,112.92,3676,700.0,6.2,0.0,22.0,121.0,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667,1,11
