volcano_filter,alert_level,latitude,longitude,elevation,tinggi_letusan_m,kec_angin_km_jam,arah_angin_deg,amplitudo,duration,Bulan,Jam,jarak_km,luas_km2,sudut_deg,radius_km
Semeru,2,-8.10805,112.92,3676,600.0,1.3000000000000005,112.5,22.0,123.0,2,0,44.35893134046793,828.1041218474554,93.06285471805694,23.311948737584416
Semeru,2,-8.10805,112.92,3676,1000.0,8.5,225.0,22.0,168.0,4,2,22.69991210349251,1042.927062022755,65.56581378491518,12.68932178718586
Semeru,2,-8.10805,112.92,3676,800.0,4.2,270.0,22.0,189.0,1,21,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,700.0,3.1,225.0,22.0,102.0,12,22,23.3189554732816,306.7621775496382,309.1083794274716,12.159723921085988
Semeru,2,-8.10805,112.92,3676,700.0,1.9,225.0,22.0,139.0,3,23,12.431279497762713,214.69366121977168,239.2672177810696,7.22763782513646
Semeru,2,-8.10805,112.92,3676,500.0,0.7999999999999994,225.0,22.0,156.0,5,18,7.978772093601114,92.00583933372718,223.7642178114219,4.568009456112498
Semeru,2,-8.10805,112.92,3676,300.0,2.5,225.0,20.0,68.0,8,10,17.358510364564754,276.08595979467435,357.03613908641535,10.005859042403651
Semeru,2,-8.10805,112.92,3676,700.0,5.5,225.0,22.0,122.0,12,13,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Semeru,2,-8.10805,112.92,3676,1000.0,4.9,67.5,22.0,131.0,12,9,10.902662557499054,460.1148803041664,0.0,5.487469629908958
Semeru,2,-8.10805,112.92,3676,1200.0,2.6000000000000005,45.0,22.0,122.0,5,23,32.073123865856594,337.438395304602,292.5958570510089,17.455988884025505
Semeru,2,-8.10805,112.92,3676,500.0,1.7999999999999998,0.0,22.0,92.0,5,13,23.3189554732816,368.1146130595658,317.3565292647865,12.488201011076972
Semeru,2,-8.10805,112.92,3676,500.0,1.5,0.0,22.0,146.0,7,13,15.494548664356016,184.0459521217084,294.0972579094825,8.890255152789969
Semeru,2,-8.10805,112.92,3676,500.0,4.3,45.0,21.0,118.0,3,1,22.760499255148485,705.4220297219065,255.37216113397056,12.394132977267668
Semeru,2,-8.10805,112.92,3676,600.0,8.3,0.0,22.0,110.0,1,22,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,800.0,4.2,0.0,22.0,120.0,11,9,12.237024358838871,122.68970844918528,87.95265318864219,6.408353004978625
Merapi,2,-7.54194,110.44194,2968,1200.0,7.1,90.0,65.0,133.0,3,3,44.62571400141726,614.2141501760491,265.6355055821134,23.9344366227144
Semeru,2,-8.10805,112.92,3676,700.0,4.6,225.0,22.0,121.0,12,13,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Merapi,3,-7.54194,110.44194,2968,27770.0,7.1,270.0,75.0,428.0,6,2,150.1229709670936,1657.69777439062,254.80517044079684,86.41514921825538
Semeru,2,-8.10805,112.92,3676,1000.0,6.3,0.0,22.0,140.0,10,10,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Semeru,2,-8.10805,112.92,3676,700.0,7.0,0.0,22.0,127.0,1,12,19.805019780305493,214.73352428474672,34.0535800254402,11.1575038228943
Semeru,2,-8.10805,112.92,3676,900.0,3.2,0.0,22.0,128.0,1,22,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,700.0,2.7,22.5,21.0,117.0,12,13,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Semeru,2,-8.10805,112.92,3676,500.0,2.2,0.0,22.0,122.0,11,14,15.494548664354904,153.37162676804678,76.52747745948085,8.22559213685388
Semeru,2,-8.10805,112.92,3676,500.0,3.7,45.0,22.0,135.0,3,12,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Semeru,2,-8.10805,112.92,3676,900.0,3.1,225.0,22.0,124.0,12,12,17.358510364564754,153.3810887748191,329.65272076785635,8.560591663119942
Bromo,2,-7.941944444,112.95,2329,10565.0,2.2,171.0,9.0,124.0,3,9,62.43167256308138,674.7010693838195,228.81955280082173,30.520106645310943
Semeru,2,-8.10805,112.92,3676,500.0,2.6000000000000005,225.0,22.0,135.0,3,13,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Semeru,2,-8.10805,112.92,3676,500.0,5.4,202.5,21.0,136.0,1,13,10.902662557499054,460.1148803041664,0.0,5.487469629908958
Semeru,2,-8.10805,112.92,3676,500.0,9.6,45.0,22.0,150.0,12,16,17.358510364564754,214.73352428474672,341.8713804109474,10.024004251832247
Semeru,2,-8.10805,112.92,3676,400.0,1.9,247.5,21.0,106.0,9,22,19.805019780306363,306.7621775497254,328.1244680054083,11.09760243752677
Semeru,2,-8.10805,112.92,3676,700.0,5.6,45.0,22.0,118.0,4,22,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667
Semeru,2,-8.10805,112.92,3676,700.0,6.1,0.0,22.0,128.0,7,23,24.57071414231177,337.4175788897029,292.55444102121555,12.895833684783923
Semeru,2,-8.10805,112.92,3676,500.0,9.0,225.0,22.0,145.0,9,2,29.604884777395323,1196.224657379557,297.422022591848,16.10948212972828
Semeru,2,-8.10805,112.92,3676,500.0,3.1,180.0,22.0,130.0,3,19,12.213570232467887,184.0459521216561,319.63053967521046,6.975922779385601
Semeru,2,-8.10805,112.92,3676,700.0,2.7,225.0,22.0,101.0,12,17,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Semeru,2,-8.10805,112.92,3676,700.0,9.7,0.0,22.0,124.0,1,10,19.788816815259747,245.39460282887484,75.01980405700047,11.160444884790198
Semeru,2,-8.10805,112.92,3676,1000.0,1.9,225.0,22.0,291.0,3,16,0.2168301069567775,766.7630757847135,180.0,0.2168301069567793
Semeru,2,-8.10805,112.92,3676,300.0,5.3,0.0,22.0,202.0,2,17,17.769679912765515,183.98865452821968,165.55395677392568,9.279964016981712
Semeru,2,-8.10805,112.92,3676,500.0,5.7,0.0,22.0,110.0,2,18,12.601602777969266,153.33348676113263,149.87374414547003,6.416441517098311
Semeru,2,-8.10805,112.92,3676,200.0,1.9,135.0,22.0,121.0,3,16,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Bromo,2,-7.941944444,112.95,2329,9925.0,2.5,180.0,9.0,124.0,3,0,29.698552627910004,306.739461725406,203.41291781548185,15.05358730899071
Semeru,2,-8.10805,112.92,3676,600.0,4.5,225.0,22.0,90.0,6,1,32.14950655266692,674.9596707998548,323.1541462470966,16.386027596720417
Raung,2,-8.125,114.0419444,3332,16021.000000000002,6.5,112.5,9.0,124.0,2,10,203.96521460662927,1226.8666472265454,270.7924700163248,110.5880370428547
Semeru,2,-8.10805,112.92,3676,400.0,8.1,0.0,22.0,75.0,2,17,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728
Semeru,2,-8.10805,112.92,3676,1100.0,5.4,225.0,22.0,129.0,12,23,15.494548664356016,214.7202774753265,305.4493137690894,8.383492448858693
Semeru,2,-8.10805,112.92,3676,500.0,0.9999999999999996,22.5,22.0,128.0,4,14,5.34291622527104,306.7242711229807,90.0,2.7798731661139087
Raung,1,-8.125,114.0419444,3332,1250.0,2.9,202.5,5.0,124.0,5,22,17.80995215487662,153.35833090331818,303.81268264050414,9.06084561226032
Semeru,2,-8.10805,112.92,3676,500.0,5.9,22.5,22.0,115.0,1,0,12.213570232467887,153.37162676804678,54.43807681462738,6.190574823762911
Semeru,2,-8.10805,112.92,3676,800.0,7.5,202.5,21.0,100.0,9,1,22.656981086711905,858.774644878812,265.6121458604001,11.929168700894136
Semeru,2,-8.10805,112.92,3676,400.0,1.4,0.0,22.0,105.0,8,16,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802
Semeru,2,-8.10805,112.92,3676,600.0,8.0,45.0,22.0,110.0,1,1,12.237024358840278,460.086406684592,336.2852389806438,8.216047174452534
Semeru,2,-8.10805,112.92,3676,800.0,2.5,247.5,22.0,121.0,2,16,17.492757114354365,184.0116786674544,119.71356410228567,9.1064190107971
Semeru,2,-8.10805,112.92,3676,800.0,10.3,202.5,22.0,152.0,7,21,24.57071414231177,276.06892818248417,282.49558531333,13.44630062699957
Semeru,2,-8.10805,112.92,3676,700.0,7.0,22.5,20.0,116.0,12,14,17.358510364564754,214.73352428474672,341.8713804109474,10.024004251832247
Semeru,2,-8.10805,112.92,3676,700.0,2.9,67.5,22.0,140.0,12,23,15.494548664356016,245.39460282894456,314.32332335076046,8.698388712438739
Semeru,2,-8.10805,112.92,3676,400.0,12.8,45.0,21.0,99.0,2,23,12.601602777969266,245.33357881781228,175.3993393213977,7.113216077285635
Semeru,2,-8.10805,112.92,3676,500.0,4.5,45.0,22.0,116.0,3,23,17.356332494464517,276.06892818248417,297.4616646630379,9.67235874675626
Semeru,2,-8.10805,112.92,3676,800.0,5.1,270.0,22.0,141.0,5,23,35.252553388016295,582.8839820039893,304.23368168146146,18.822681758109173
Semeru,2,-8.10805,112.92,3676,500.0,1.4,180.0,22.0,134.0,2,19,15.800788837819136,214.6668814655857,142.5776149134907,8.616325131581716
Semeru,2,-8.10805,112.92,3676,600.0,3.4,0.0,22.0,116.0,3,15,15.494548664356016,184.0459521217084,298.37472015520365,7.745146151590494
Semeru,2,-8.10805,112.92,3676,300.0,2.4,225.0,21.0,68.0,7,14,17.358510364564754,245.4097420397105,331.0828640451039,9.459556991325666
Semeru,2,-8.10805,112.92,3676,700.0,0.9999999999999996,225.0,22.0,700.0,5,23,15.800788837820228,245.333578817882,224.05543518504612,8.915590625675684
Semeru,2,-8.10805,112.92,3676,800.0,3.0,45.0,22.0,101.0,2,1,52.20991944600394,981.5784113155344,85.13879183740994,26.272127725940138
Semeru,2,-8.10805,112.92,3676,500.0,1.7999999999999998,180.0,22.0,99.0,12,17,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,300.0,2.3,225.0,22.0,89.0,10,22,19.805019780306363,276.08595979475285,313.8572509891601,10.649775254097996
Semeru,2,-8.10805,112.92,3676,700.0,2.6000000000000005,225.0,22.0,112.0,1,18,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,600.0,0.6000000000000001,225.0,21.0,102.0,12,22,12.213570232467887,122.69730141443742,323.6749979521214,6.361111987758738
Semeru,2,-8.10805,112.92,3676,800.0,9.2,90.0,21.0,125.0,12,21,12.213570232467887,122.69730141443742,323.6749979521214,6.361111987758738
Semeru,2,-8.10805,112.92,3676,600.0,1.5,0.0,21.0,117.0,1,23,19.788816815259747,276.06892818248417,66.67613867521078,10.514052811510291
Semeru,2,-8.10805,112.92,3676,700.0,3.7,22.5,22.0,111.0,4,13,10.902662557499054,460.1148803041664,0.0,5.487469629908958
Semeru,2,-8.10805,112.92,3676,600.0,1.0999999999999996,0.0,21.0,101.0,3,19,17.358510364564754,214.73352428474672,341.8713804109474,10.024004251832247
Semeru,2,-8.10805,112.92,3676,800.0,6.7,0.0,22.0,117.0,2,0,82.7590470436518,2484.157662010634,93.13683886878836,43.228578216885765
Semeru,2,-8.10805,112.92,3676,700.0,8.1,225.0,22.0,107.0,6,3,27.49404494471941,889.6103148939824,312.8828678923131,14.604236203443149
Semeru,2,-8.10805,112.92,3676,800.0,0.9999999999999996,45.0,22.0,118.0,12,23,5.508426167779602,306.705230313868,223.87026852672176,2.8626281373681906
Semeru,2,-8.10805,112.92,3676,1000.0,1.2000000000000002,180.0,22.0,125.0,3,19,12.237024358840278,122.68970844922018,272.0473468113568,6.408353004978977
Semeru,2,-8.10805,112.92,3676,1200.0,0.7999999999999994,225.0,22.0,139.0,2,23,15.800788837819136,214.6668814655857,142.5776149134907,8.616325131581716
Semeru,2,-8.10805,112.92,3676,500.0,8.9,0.0,22.0,110.0,1,17,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,2000.0,6.9,112.5,27.0,696.0,1,15,5.508426167779602,306.705230313868,223.87026852672176,2.8626281373681906
Bromo,2,-7.941944444,112.95,2329,8645.0,6.1,45.0,9.0,124.0,4,4,27.52736533366064,245.4067179352641,218.947322288668,13.949546015770768
Semeru,2,-8.10805,112.92,3676,600.0,5.8,0.0,22.0,119.0,1,18,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,700.0,6.6,45.0,21.0,105.0,12,11,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802
Semeru,2,-8.10805,112.92,3676,1000.0,2.0,22.5,22.0,154.0,2,19,12.431279497761324,153.34306555621197,122.168616097019,7.429151390085646
Semeru,2,-8.10805,112.92,3676,300.0,6.2,225.0,22.0,100.0,10,1,34.78196220061207,981.7595211634252,322.750657833456,18.486745706018443
Semeru,2,-8.10805,112.92,3676,800.0,3.6,157.5,20.0,113.0,2,15,16.51389428621559,153.34306555621197,111.59259693816784,9.13617582860854
Semeru,2,-8.10805,112.92,3676,400.0,2.3,0.0,20.0,88.0,1,16,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,500.0,3.1,225.0,22.0,124.0,10,1,29.76099218188649,889.3342232145694,240.0948596027657,15.71221953333905
Semeru,2,-8.10805,112.92,3676,400.0,13.3,225.0,22.0,111.0,10,7,37.03014238937604,1319.0773634634445,292.1755983777563,16.138024615689737
Semeru,2,-8.10805,112.92,3676,700.0,13.3,225.0,22.0,155.0,9,8,22.02215522195489,797.5324591938715,350.4500726242007,11.585840917302075
Semeru,2,-8.10805,112.92,3676,800.0,5.4,225.0,22.0,116.0,12,23,15.494548664356016,214.7202774753265,305.4493137690894,8.383492448858693
Raung,2,-8.125,114.0419444,3332,11861.0,11.3,292.0,9.0,124.0,1,20,51.10745336319684,398.7563678521664,288.85958190119584,25.85323296978671
Semeru,2,-8.10805,112.92,3676,500.0,2.3,0.0,22.0,115.0,2,13,28.03630333835644,276.0518440106669,89.35855304672572,15.061548460715906
Semeru,2,-8.10805,112.92,3676,400.0,5.7,225.0,22.0,106.0,3,9,12.237024358840278,153.36213556152524,292.6817257539522,6.19526564903739
Raung,2,-8.125,114.0419444,3332,750.0,4.1,247.5,4.0,124.0,6,10,16.19508197677124,245.3885340628717,324.99267123513897,9.310879213026093
Semeru,2,-8.10805,112.92,3676,400.0,4.5,180.0,22.0,132.0,1,12,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802
Semeru,2,-8.10805,112.92,3676,500.0,5.3,225.0,22.0,127.0,12,22,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802
Semeru,2,-8.10805,112.92,3676,600.0,0.9999999999999996,270.0,22.0,129.0,12,18,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Semeru,2,-8.10805,112.92,3676,700.0,4.5,45.0,22.0,119.0,11,22,15.494548664354904,184.0459521216561,61.62527984479468,7.745146151590074
Semeru,2,-8.10805,112.92,3676,500.0,1.6,180.0,21.0,100.0,4,16,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667
Semeru,2,-8.10805,112.92,3676,400.0,0.8999999999999995,225.0,21.0,110.0,4,22,5.34291622527104,306.7242711229807,90.0,2.7798731661139087
Semeru,2,-8.10805,112.92,3676,500.0,2.9,0.0,22.0,107.0,4,15,10.902662557499054,122.69730141443742,22.928464667820208,6.03338506901653
Semeru,2,-8.10805,112.92,3676,500.0,1.7999999999999998,45.0,22.0,148.0,11,22,15.494548664354904,214.72027747526548,54.55068623090921,8.383492448858332
Semeru,2,-8.10805,112.92,3676,800.0,1.7999999999999998,0.0,22.0,101.0,1,12,17.356332494463032,184.034562673778,85.22727653006422,9.000032266451157
Semeru,2,-8.10805,112.92,3676,800.0,2.9,225.0,22.0,136.0,8,22,23.3189554732816,306.7621775496382,309.1083794274716,12.159723921085988
Semeru,2,-8.10805,112.92,3676,800.0,4.3,225.0,22.0,121.0,10,9,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Merapi,3,-7.54194,110.44194,2968,27770.0,4.7,315.0,75.0,433.0,6,1,160.4712163649263,2027.257323898208,272.80058267501016,94.77298607000128
Semeru,2,-8.10805,112.92,3676,400.0,4.6,270.0,22.0,83.0,9,17,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Semeru,2,-8.10805,112.92,3676,600.0,7.6,0.0,22.0,152.0,1,23,7.978772093601114,245.3641842510979,239.27362798552207,5.709276246656428
Semeru,2,-8.10805,112.92,3676,500.0,4.1,270.0,22.0,97.0,6,17,31.143961434608883,582.8839820039893,325.8412696066074,16.42218189533939
Semeru,2,-8.10805,112.92,3676,400.0,3.0,180.0,22.0,177.0,3,21,12.213570232467887,153.37162676804678,305.5619231853726,6.19057482376291
Semeru,2,-8.10805,112.92,3676,500.0,7.8,225.0,22.0,103.0,6,2,31.143961434608883,951.0212337960164,320.0178848345766,16.48102445277557
Semeru,2,-8.10805,112.92,3676,800.0,8.5,67.5,23.0,126.0,1,22,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,600.0,3.3,180.0,22.0,102.0,11,22,15.494548664354904,214.72027747526548,54.55068623090921,8.383492448858332
Semeru,2,-8.10805,112.92,3676,400.0,0.9999999999999996,225.0,22.0,92.0,12,19,5.34291622527104,306.7242711229807,90.0,2.7798731661139087
Raung,2,-8.125,114.0419444,3332,600.0,9.9,22.5,4.0,124.0,6,5,27.38689288681116,1288.2019836742666,344.7202807398629,14.35746458056192
Semeru,2,-8.10805,112.92,3676,300.0,8.8,45.0,22.0,163.0,2,9,29.604884777395323,429.44055495053095,76.52507124363558,16.620287995150296
Semeru,2,-8.10805,112.92,3676,400.0,0.9999999999999996,45.0,22.0,110.0,3,14,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Semeru,2,-8.10805,112.92,3676,700.0,4.2,0.0,22.0,112.0,2,17,12.431279497761324,184.0116786674544,132.26302531014312,7.1537222316021705
Semeru,2,-8.10805,112.92,3676,700.0,0.9999999999999996,180.0,22.0,125.0,3,16,15.494548664356016,184.0459521217084,308.05562920594906,7.741237130528428
Merapi,2,-7.54194,110.44194,2968,11770.0,1.7999999999999998,270.0,40.0,180.0,3,14,58.8457398135142,552.5659247968733,229.11797410594,30.621051437154872
Semeru,2,-8.10805,112.92,3676,700.0,0.6000000000000001,157.5,22.0,160.0,3,22,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Semeru,2,-8.10805,112.92,3676,600.0,4.2,225.0,22.0,118.0,12,21,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802
Semeru,2,-8.10805,112.92,3676,700.0,3.9,45.0,21.0,138.0,4,23,22.02215522195489,184.06862589599663,4.593172085558706,12.050913894328914
Semeru,2,-8.10805,112.92,3676,500.0,0.6000000000000001,270.0,20.0,154.0,5,21,35.252553388016295,705.5963992679872,311.90823274585784,18.83537107137517
Raung,2,-8.125,114.0419444,3332,16021.000000000002,6.8,90.0,9.0,124.0,2,23,143.8065490880557,1626.483035365303,290.7774511480669,72.5271311267114
Semeru,2,-8.10805,112.92,3676,900.0,4.2,270.0,22.0,138.0,10,12,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
Semeru,2,-8.10805,112.92,3676,1000.0,0.2999999999999998,0.0,22.0,147.0,11,16,7.978772093601114,92.00583933372718,223.7642178114219,4.568009456112498
Semeru,2,-8.10805,112.92,3676,700.0,7.2,0.0,22.0,118.0,1,13,12.213570232467887,153.37162676804678,335.7119051397495,7.269422101706802
Semeru,2,-8.10805,112.92,3676,500.0,4.0,225.0,21.0,145.0,8,17,19.805019780306363,368.1146130595658,312.7737343030782,11.462492145331089
Semeru,2,-8.10805,112.92,3676,700.0,4.2,225.0,21.0,134.0,1,14,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,1100.0,0.7000000000000002,225.0,22.0,99.0,12,22,7.978772093601114,92.00583933372718,194.2093991299977,4.657392879914229
Raung,2,-8.125,114.0419444,3332,11541.0,6.6,229.0,9.0,124.0,1,9,17.80779934396233,184.00478613884337,262.27521315766387,9.060037934276572
Semeru,2,-8.10805,112.92,3676,800.0,8.4,247.5,22.0,124.0,1,9,16.462408889726973,613.5243550993113,0.0,8.231204444863462
Merapi,2,-7.54194,110.44194,2968,16570.0,0.3999999999999999,270.0,76.0,230.0,6,13,89.06017148323518,1258.9925995195138,260.2045703917425,42.3986062043106
Semeru,2,-8.10805,112.92,3676,500.0,6.4,22.5,22.0,137.0,4,0,17.358510364564754,214.73352428474672,341.8713804109474,10.024004251832247
Semeru,2,-8.10805,112.92,3676,800.0,2.3,202.5,22.0,107.0,5,0,22.656981086711905,521.4312609090562,275.78521233107284,12.45341183980544
Semeru,2,-8.10805,112.92,3676,500.0,11.1,112.5,22.0,94.0,1,23,7.671131386339246,214.69366121971063,0.0,5.385062554235759
Semeru,2,-8.10805,112.92,3676,700.0,3.9,22.5,22.0,110.0,4,21,7.671131386339246,122.68970844918528,69.05819614109845,4.684825971586667
Semeru,2,-8.10805,112.92,3676,400.0,9.2,225.0,21.0,115.0,4,1,17.358510364564754,889.4451679101983,90.17573582989382,11.350029110633823
Semeru,2,-8.10805,112.92,3676,500.0,9.1,0.0,22.0,132.0,5,3,29.76099218188649,1073.6013873763657,283.8999928241884,14.705768967254423
Semeru,2,-8.10805,112.92,3676,700.0,10.3,0.0,22.0,158.0,4,0,12.601602777969266,613.4104606279191,151.83901760157408,9.2321397469831
Raung,2,-8.125,114.0419444,3332,1000.0,3.4,180.0,4.0,124.0,6,17,12.780868492280144,122.68666472265454,307.5172120057565,6.873568976606247
Semeru,2,-8.10805,112.92,3676,900.0,1.7000000000000002,225.0,22.0,155.0,3,22,17.356332494464517,184.034562673778,274.77272346993493,9.0000322664519
Semeru,2,-8.10805,112.92,3676,500.0,10.8,0.0,22.0,125.0,1,7,17.358510364564754,184.0573065297829,11.30668852947963,10.416149729414414
Semeru,2,-8.10805,112.92,3676,600.0,1.3000000000000005,202.5,22.0,110.0,5,20,35.252553388016295,705.6396558362119,311.1297635250081,19.24622300394797
Semeru,2,-8.10805,112.92,3676,600.0,5.3,0.0,22.0,88.0,1,11,12.213570232467887,153.37162676804678,24.28809486025051,7.269422101706802
Semeru,2,-8.10805,112.92,3676,600.0,0.5,180.0,21.0,101.0,12,15,17.358510364564754,214.73352428474672,341.8713804109474,10.024004251832247
Semeru,2,-8.10805,112.92,3676,500.0,0.3999999999999999,45.0,22.0,110.0,2,23,12.601602777969266,184.0001841133592,155.49421485362862,7.236421726150728
Semeru,2,-8.10805,112.92,3676,500.0,6.1,0.0,22.0,72.0,12,23,15.494548664356016,245.39460282894456,314.32332335076046,8.698388712438739
Semeru,2,-8.10805,112.92,3676,600.0,11.6,45.0,22.0,124.0,1,5,44.35893134046793,1349.8365899040234,62.86887372379192,23.188607431168403
Semeru,2,-8.10805,112.92,3676,600.0,1.0999999999999996,225.0,22.0,115.0,12,18,7.671131386339246,122.68970844918528,290.94180385890155,4.684825971586666
Semeru,2,-8.10805,112.92,3676,500.0,5.8,270.0,22.0,120.0,12,13,17.358510364564754,184.0573065297829,337.2196970650872,8.950936812183128
Semeru,2,-8.10805,112.92,3676,400.0,0.5,180.0,21.0,99.0,3,13,12.237024358840278,153.36213556152524,271.1678272182759,7.328772220849376
